lon,lat,name,year,month,drought,enso,PET,P,ET,SM,SM_prev,DS,NDVI
-100.3,35.4,P1,1990,3,NA,0.61,72.05295563,42.06000137,34.14822006,24.77030605,21.34203315,-1,0.257292569
-100.3,35.4,P1,1990,4,NA,0.32,101.9199982,38.72999954,41.32220459,22.17591107,24.77030605,3,0.332861036
-100.3,35.4,P1,1990,5,NA,-0.29,135.7980499,142.6300049,78.67442322,20.61863989,22.17591107,4,0.395860016
-100.3,35.4,P1,1990,6,NA,0.12,169.7806244,41.27000046,99.33364105,17.96443611,20.61863989,-7,0.415917009
-100.3,35.4,P1,1990,7,NA,0.03,169.5065002,88.56999969,65.7671051,17.89562851,17.96443611,-7,0.367695898
-100.3,35.4,P1,1990,8,NA,0.47,152.8807983,60.00999832,81.42974091,20.87360471,17.89562851,21,0.408731192
-100.3,35.4,P1,1990,9,NA,0.55,118.6047592,72.90000153,44.56526566,19.31831241,20.87360471,-16,0.355307788
-100.3,35.4,P1,1991,1,NA,0.12,31.87625885,25.22999954,3.822984457,23.98999929,21.70210183,-10,0.248632163
-100.3,35.4,P1,1991,10,NA,1.28,81.94271851,41.90000153,33.00661087,22.91615009,25.75051785,-10,0.397460073
-100.3,35.4,P1,1991,11,NA,1,40.91041565,31.20999908,13.72720528,27.39627957,22.91615009,6,0.29128933
-100.3,35.4,P1,1991,12,NA,1.82,31.56217003,85.76999664,10.19607449,26.15852654,27.39627957,7,0.264525235
-100.3,35.4,P1,1991,2,NA,0.23,50.94229126,0.860000014,12.9552269,18.13914031,23.98999929,-3,0.259409279
-100.3,35.4,P1,1991,3,NA,0.64,81.14658356,22.04000092,9.733976364,18.82592142,18.13914031,-3,0.279620945
-100.3,35.4,P1,1991,4,NA,0.86,111.7955322,18.31999969,25.14058495,19.70103085,18.82592142,-6,0.335887134
-100.3,35.4,P1,1991,5,NA,1.37,141.4086914,148.9799957,70.20610046,21.82282656,19.70103085,5,0.407216311
-100.3,35.4,P1,1991,6,NA,0.94,157.0021667,156.7299957,102.2858353,22.0982939,21.82282656,12,0.481352299
-100.3,35.4,P1,1991,7,NA,0.71,168.5894623,58.09000015,87.02168274,16.47683829,22.0982939,3,0.435097754
-100.3,35.4,P1,1991,8,NA,0.82,145.2368011,74.55999756,75.4328537,20.82974613,16.47683829,14,0.405215383
-100.3,35.4,P1,1991,9,NA,1.02,104.9350891,161.1600037,63.16217422,25.75051785,20.82974613,1,0.399495542
